Experiment,Title,Scale,Beta,Seed,Epoch,Val_Acc,Depth_Ratio,GSI,,,,,,,,,
5,Initialization × Activation Interaction Study,0.5,0.05,999,3,0.890737011,5.812664481,0.902390442,,,,,,,,,
5,Initialization × Activation Interaction Study,0.5,0.05,999,4,0.896612002,6.392004329,0.874151115,,,,,,,,,
5,Initialization × Activation Interaction Study,0.5,0.05,999,5,0.905219329,5.883803228,0.893831849,,,,,,,,,
5,Initialization × Activation Interaction Study,0.5,0.05,999,6,0.895326324,5.924908006,0.905393575,,,,,,,,,
5,Initialization × Activation Interaction Study,0.5,0.05,999,7,0.902388876,7.026035868,0.953179578,,,,,,,,,
5,Initialization × Activation Interaction Study,0.5,0.05,999,8,0.902668252,6.628817703,0.907973871,,,,,,,,,
5,Initialization × Activation Interaction Study,0.5,0.05,999,9,0.8971323,6.316035523,0.956564063,,,,,,,,,
5,Initialization × Activation Interaction Study,0.5,0.05,999,10,0.893625423,7.292760868,0.868269735,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,1,0.927981009,10.85274989,0.952780946,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,2,0.924026053,8.971869407,0.986955984,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,3,0.92974168,10.82465813,1.009547709,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,4,0.923621281,10.19052168,0.931282831,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,5,0.920205932,10.19567326,0.955400846,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,6,0.933684378,9.713003325,0.971666245,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,7,0.931058531,8.645227991,0.971690717,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,8,0.936234341,8.722821294,0.978203096,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,9,0.937223756,8.788558573,0.95950776,,,,,,,,,
6,Initialization × Activation Interaction Study,0.5,0.1,42,10,0.936279978,10.71639948,0.990069274,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,1,0.913291222,9.281319597,0.974917336,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,2,0.923393065,9.342160816,0.929105095,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,3,0.934366936,8.605431483,0.907731552,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,4,0.923548619,9.717115029,0.955732379,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,5,0.931649021,9.733158126,0.936383177,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,6,0.912577947,10.63189508,0.985627071,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,7,0.929082706,9.587565698,0.962585501,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,8,0.911208288,8.621010082,0.991031423,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,9,0.919961182,10.45251991,0.969085616,,,,,,,,,
7,Initialization × Activation Interaction Study,0.5,0.1,123,10,0.928134596,8.912718184,0.902457095,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,1,0.911660332,9.242424573,0.880630659,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,2,0.925319546,8.404124692,0.980831109,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,3,0.910811216,9.39558322,0.999676956,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,4,0.924824992,9.516649818,0.926250339,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,5,0.925836401,10.38660207,0.967276389,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,6,0.922893369,8.908694641,0.889899761,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,7,0.91849226,8.709904387,0.935221941,,,,,,,,,
8,Initialization × Activation Interaction Study,0.5,0.1,999,8,0.927238482,10.06124184,0.970556462,,,,,,,,,
