Experiment,Title,Scale,Beta,Seed,Epoch,Val_Acc,Depth_Ratio,GSI,,,,,,,,,
24,Initialization Scaling Study,2,0,42,5,0.881324888,3.506226096,0.804638945,,,,,,,,,
24,Initialization Scaling Study,2,0,42,6,0.892639371,2.823736589,0.891856548,,,,,,,,,
24,Initialization Scaling Study,2,0,42,7,0.889228822,4.401574761,0.87430357,,,,,,,,,
24,Initialization Scaling Study,2,0,42,8,0.875450302,3.792901595,0.795452232,,,,,,,,,
24,Initialization Scaling Study,2,0,42,9,0.865668297,3.319257405,0.816692029,,,,,,,,,
24,Initialization Scaling Study,2,0,42,10,0.871906855,3.421434015,0.793561815,,,,,,,,,
25,Initialization Scaling Study,2,0,123,1,0.866391413,4.200268394,0.837728651,,,,,,,,,
25,Initialization Scaling Study,2,0,123,2,0.86724073,4.199775571,0.833128191,,,,,,,,,
25,Initialization Scaling Study,2,0,123,3,0.888686904,3.404931009,0.817092836,,,,,,,,,
25,Initialization Scaling Study,2,0,123,4,0.870327464,2.78223662,0.770918786,,,,,,,,,
25,Initialization Scaling Study,2,0,123,5,0.872368658,2.420457233,0.866668467,,,,,,,,,
25,Initialization Scaling Study,2,0,123,6,0.886855359,2.470852881,0.754062393,,,,,,,,,
25,Initialization Scaling Study,2,0,123,7,0.861092665,4.092711711,0.767962031,,,,,,,,,
25,Initialization Scaling Study,2,0,123,8,0.867385486,3.875236485,0.752867452,,,,,,,,,
25,Initialization Scaling Study,2,0,123,9,0.868611425,3.939423371,0.823328902,,,,,,,,,
25,Initialization Scaling Study,2,0,123,10,0.864845514,3.21253526,0.763036738,,,,,,,,,
26,Initialization Scaling Study,2,0,999,1,0.865832587,2.442722952,0.755173918,,,,,,,,,
26,Initialization Scaling Study,2,0,999,2,0.868454916,3.627034641,0.854709998,,,,,,,,,
26,Initialization Scaling Study,2,0,999,3,0.878185234,2.208077524,0.833381923,,,,,,,,,
26,Initialization Scaling Study,2,0,999,4,0.868563357,2.071267628,0.756543759,,,,,,,,,
26,Initialization Scaling Study,2,0,999,5,0.865957199,3.661174223,0.827318879,,,,,,,,,
26,Initialization Scaling Study,2,0,999,6,0.865209441,2.136820539,0.750702829,,,,,,,,,
26,Initialization Scaling Study,2,0,999,7,0.877113111,2.178852183,0.779592533,,,,,,,,,
26,Initialization Scaling Study,2,0,999,8,0.87048723,2.732817249,0.780035134,,,,,,,,,
26,Initialization Scaling Study,2,0,999,9,0.878092316,3.474116925,0.739549903,,,,,,,,,
26,Initialization Scaling Study,2,0,999,10,0.880117858,3.715651466,0.859247328,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,1,0.907017797,6.016704938,0.958423806,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,2,0.925770636,8.544772217,0.923744932,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,3,0.926459687,8.164283657,0.965660646,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,4,0.927828813,7.430497139,0.954175164,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,5,0.914533944,8.537409435,0.953994865,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,6,0.928567776,8.992785961,0.885581725,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,7,0.91676839,8.954548101,0.970996288,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,8,0.913422623,7.300573494,0.904474797,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,9,0.919506636,8.311901115,0.915953201,,,,,,,,,
27,Initialization × Activation Interaction Study,2,0.05,42,10,0.918249383,6.189207148,0.865160287,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,1,0.906399348,7.916891921,0.929231694,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,2,0.896611501,8.091317582,0.88301897,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,3,0.914247379,7.070794028,0.900238475,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,4,0.910421461,7.548997949,0.909722305,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,5,0.91788284,7.951203099,0.867022658,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,6,0.911665374,7.543728399,0.911002811,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,7,0.904252955,7.106964109,0.912998751,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,8,0.900223847,8.329437424,0.855972639,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,9,0.90328217,7.853162763,0.843207402,,,,,,,,,
28,Initialization × Activation Interaction Study,2,0.05,123,10,0.90570115,5.974116548,0.941407437,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,1,0.895841229,7.517320016,0.901439949,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,2,0.919030148,5.958934766,0.907787937,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,3,0.899528302,5.505374558,0.940611299,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,4,0.901050138,6.993418567,0.921142225,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,5,0.898743932,5.596423209,0.929436632,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,6,0.897702958,6.150732606,0.891453416,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,7,0.916686545,6.962717393,0.94724553,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,8,0.916334053,6.779856864,0.853322699,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,9,0.892514581,6.832480931,0.947776478,,,,,,,,,
29,Initialization × Activation Interaction Study,2,0.05,999,10,0.902838326,7.809874566,0.924254201,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,1,0.931923251,11.9324456,0.9240539,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,2,0.928251815,11.79235254,1.015734088,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,3,0.93275105,11.69836971,1.01718141,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,4,0.934587329,10.09275134,1.020830589,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,5,0.937894437,11.67619226,0.967569242,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,6,0.929219884,10.76550572,0.92277973,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,7,0.935323117,12.62653784,1.008110317,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,8,0.921827419,13.0207023,1.015001487,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,9,0.935794599,11.6104038,0.922888925,,,,,,,,,
30,Initialization × Activation Interaction Study,2,0.1,42,10,0.930582536,13.51139887,0.946922647,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,1,0.914082357,12.24441445,0.964247917,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,2,0.910695927,10.39050524,0.970514014,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,3,0.939731309,10.13081204,0.9386032,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,4,0.914484562,10.40682208,0.9101897,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,5,0.917340647,10.05350165,1.01064888,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,6,0.910524473,12.69973281,0.955292075,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,7,0.920463432,11.51124351,0.988093031,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,8,0.935589246,11.09562913,0.945632006,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,9,0.927010041,9.846314146,0.966598688,,,,,,,,,
31,Initialization × Activation Interaction Study,2,0.1,123,10,0.930539341,12.07628777,0.996755292,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,1,0.917480114,10.51109294,0.936022545,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,2,0.927364192,11.38365234,0.917475489,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,3,0.929364772,11.47686266,0.973924123,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,4,0.912723253,11.08276827,0.915406954,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,5,0.9162461,9.066122119,0.963670067,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,6,0.91780021,10.29039192,0.979046421,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,7,0.911404728,11.67336935,0.944891952,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,8,0.925154445,9.542584686,0.980246762,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,9,0.919811302,8.992068887,0.952973121,,,,,,,,,
32,Initialization × Activation Interaction Study,2,0.1,999,10,0.918684479,11.5443973,1.004464098,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,1,0.9122056,7.509217018,0.989001286,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,2,0.903303081,7.23071223,0.977514836,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,3,0.908480375,9.434590498,0.942116065,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,4,0.911686387,8.974335048,0.950715457,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,5,0.912383661,6.089241735,0.962580849,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,6,0.910362704,6.84969844,0.93795038,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,7,0.918480234,6.443342581,0.911387414,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,8,0.919935056,6.396405951,0.908046555,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,9,0.915384732,6.585401056,0.980056862,,,,,,,,,
33,Initialization × Activation Interaction Study,2,0.2,42,10,0.918949238,9.914590821,0.930365446,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,1,0.911173498,6.873618541,0.974620424,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,2,0.891833424,5.547645234,0.892310948,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,3,0.907492671,6.711760967,0.934543252,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,4,0.915646634,8.102908185,0.884402463,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,5,0.90316442,9.336086027,0.878084907,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,6,0.915412774,8.32418196,0.945830036,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,7,0.917473674,8.869962618,0.968256552,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,8,0.911472506,8.691211178,0.949819114,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,9,0.894927329,7.306059859,0.882672323,,,,,,,,,
34,Initialization × Activation Interaction Study,2,0.2,123,10,0.894081116,9.353625167,0.963138971,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,1,0.896241553,8.351452622,0.876403545,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,2,0.897011459,6.384442631,0.969764357,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,3,0.896741598,7.69034146,0.957267314,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,4,0.893390446,7.553630508,0.948120476,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,5,0.894019818,5.902804745,0.861875598,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,6,0.905668773,6.48370929,0.869880254,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,7,0.893462398,5.286735232,0.906494494,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,8,0.901912672,6.40755923,0.91253032,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,9,0.908391833,6.347475144,0.886352742,,,,,,,,,
35,Initialization × Activation Interaction Study,2,0.2,999,10,0.894169757,5.052949536,0.909287403,,,,,,,,,
